               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.025987,            0.022407,           0.0067489,             0.95515,             0.96165,             0.97096,             0.70216,            0.017091,            0.016269,           0.0028172,           0.0079457,           0.0079457,           0.0079457
                  85,            0.026951,            0.021694,           0.0051074,             0.94544,             0.95153,              0.9618,             0.70071,            0.017132,            0.016322,           0.0029231,            0.007921,            0.007921,            0.007921
                  86,            0.026253,            0.021776,           0.0071421,             0.94138,             0.95987,             0.95939,             0.69922,            0.017101,            0.016183,           0.0030313,           0.0078963,           0.0078963,           0.0078963
                  87,            0.026973,            0.021607,           0.0083957,             0.94463,             0.95176,             0.95998,             0.70158,            0.017211,            0.016643,           0.0030169,           0.0078715,           0.0078715,           0.0078715
                  88,            0.024649,            0.021081,           0.0047794,             0.94996,             0.96754,             0.96791,             0.71188,            0.016453,            0.016072,           0.0027436,           0.0078467,           0.0078467,           0.0078467
                  89,            0.025842,            0.020757,           0.0057408,             0.95429,              0.9613,             0.96841,             0.69543,            0.016801,            0.016482,           0.0027845,            0.007822,            0.007822,            0.007822
                  90,            0.026485,             0.02169,           0.0058884,              0.9613,             0.95905,             0.97377,             0.71449,            0.017106,            0.016105,           0.0028803,           0.0077973,           0.0077973,           0.0077973
                  91,            0.025676,            0.021271,           0.0064594,             0.94024,             0.95473,             0.96277,             0.71155,            0.016791,            0.015921,           0.0029315,           0.0077725,           0.0077725,           0.0077725
                  92,            0.027364,            0.022224,           0.0060251,             0.95883,             0.94011,             0.96727,             0.67673,            0.018964,            0.018291,           0.0029806,           0.0077478,           0.0077478,           0.0077478
                  93,             0.02561,            0.022652,           0.0085106,             0.90048,             0.93273,             0.93926,             0.65997,            0.018897,            0.019455,           0.0038512,            0.007723,            0.007723,            0.007723
                  94,            0.025423,            0.022117,           0.0060971,             0.91992,             0.93113,             0.94447,             0.68302,            0.016776,            0.017225,           0.0033297,           0.0076983,           0.0076983,           0.0076983
                  95,            0.027649,            0.022404,           0.0075157,             0.94015,             0.96177,             0.96368,             0.70063,            0.017948,            0.016449,           0.0027505,           0.0076735,           0.0076735,           0.0076735
                  96,            0.025562,             0.02106,           0.0044565,             0.87232,             0.85388,             0.89774,             0.64248,            0.019493,            0.021741,            0.007879,           0.0076488,           0.0076488,           0.0076488
                  97,            0.025547,            0.022336,           0.0064926,             0.90595,             0.92106,             0.94501,             0.66897,            0.018376,            0.018114,           0.0034071,            0.007624,            0.007624,            0.007624
                  98,            0.026325,            0.022099,           0.0059922,             0.94485,             0.95717,             0.97004,             0.70539,            0.017357,            0.016855,           0.0025974,           0.0075993,           0.0075993,           0.0075993
                  99,            0.025785,            0.021704,           0.0071875,             0.95673,             0.95601,             0.97119,             0.70898,            0.016387,            0.016085,           0.0026032,           0.0075745,           0.0075745,           0.0075745
                 100,            0.026011,            0.021212,           0.0051595,             0.95825,             0.96235,             0.97384,             0.71856,            0.016467,            0.015726,           0.0026411,           0.0075498,           0.0075498,           0.0075498
                 101,            0.027398,            0.020551,            0.005888,             0.94767,             0.96495,             0.96857,             0.71652,            0.015774,            0.015963,           0.0025911,            0.007525,            0.007525,            0.007525
                 102,             0.02398,            0.021072,           0.0062315,             0.95047,              0.9526,              0.9693,             0.71948,            0.016644,            0.015907,           0.0025913,           0.0075003,           0.0075003,           0.0075003
                 103,            0.026029,            0.021851,           0.0056498,              0.9578,             0.96599,             0.97462,             0.72773,            0.016514,            0.015518,           0.0025368,           0.0074755,           0.0074755,           0.0074755
                 104,            0.025454,            0.021599,           0.0067191,             0.94744,             0.95494,             0.96926,             0.69521,            0.016931,            0.017465,            0.002598,           0.0074507,           0.0074507,           0.0074507
                 105,            0.024428,            0.021543,           0.0049314,             0.94661,             0.96135,             0.96774,             0.70143,            0.016208,             0.01652,           0.0024925,            0.007426,            0.007426,            0.007426
                 106,            0.025581,            0.021013,           0.0043473,             0.93924,             0.94653,             0.96315,             0.71427,            0.016176,            0.016435,           0.0026292,           0.0074013,           0.0074013,           0.0074013
                 107,            0.023722,            0.020971,           0.0044444,             0.95931,             0.96479,             0.97853,             0.73412,            0.015823,            0.015334,           0.0023698,           0.0073765,           0.0073765,           0.0073765
                 108,            0.024408,            0.020695,           0.0046829,             0.96419,             0.97144,             0.97779,             0.73314,             0.01552,            0.015337,           0.0023147,           0.0073517,           0.0073517,           0.0073517
                 109,            0.022944,            0.021117,           0.0042274,             0.97427,             0.96637,             0.97952,             0.74094,             0.01524,            0.015098,           0.0023311,            0.007327,            0.007327,            0.007327
                 110,             0.02434,            0.021091,           0.0051592,              0.9732,             0.96499,             0.97749,             0.73802,            0.015815,            0.015112,           0.0023111,           0.0073023,           0.0073023,           0.0073023
                 111,            0.025279,            0.020384,            0.007051,             0.96869,             0.96134,              0.9732,             0.73625,            0.016333,            0.015115,           0.0023053,           0.0072775,           0.0072775,           0.0072775
                 112,            0.023264,            0.020441,           0.0039675,             0.95143,             0.96807,             0.97504,             0.73281,            0.015192,            0.015042,           0.0023755,           0.0072527,           0.0072527,           0.0072527
                 113,            0.023488,            0.020823,            0.005741,             0.95811,             0.97366,             0.97851,             0.73904,            0.014933,            0.015159,           0.0023313,            0.007228,            0.007228,            0.007228
                 114,            0.022342,            0.020157,           0.0052829,             0.96409,             0.97154,             0.98131,             0.73625,            0.015636,            0.015008,           0.0022047,           0.0072033,           0.0072033,           0.0072033
                 115,            0.026287,            0.020922,           0.0070411,             0.96429,             0.96885,             0.98008,             0.74434,            0.015117,            0.014919,           0.0022375,           0.0071785,           0.0071785,           0.0071785
                 116,            0.028532,            0.020385,           0.0047431,             0.96522,             0.96464,              0.9805,             0.74331,            0.015603,            0.015167,           0.0024466,           0.0071538,           0.0071538,           0.0071538
                 117,            0.026918,            0.021158,           0.0067572,             0.97515,             0.96995,             0.97901,             0.74205,            0.015672,            0.015074,           0.0024029,            0.007129,            0.007129,            0.007129
                 118,            0.025241,            0.020576,           0.0056006,             0.96958,               0.972,             0.97973,             0.74174,            0.015411,            0.015121,           0.0023846,           0.0071042,           0.0071042,           0.0071042
                 119,            0.022544,            0.020617,           0.0054093,             0.97071,             0.96937,              0.9801,             0.74364,            0.015008,            0.014991,           0.0023083,           0.0070795,           0.0070795,           0.0070795
                 120,            0.024073,            0.020347,             0.00606,             0.95988,              0.9841,             0.98374,             0.75388,            0.014933,            0.014805,           0.0021463,           0.0070547,           0.0070547,           0.0070547
                 121,             0.02358,            0.019794,           0.0050361,             0.97108,               0.969,             0.97966,             0.74612,            0.014954,            0.014729,           0.0021087,             0.00703,             0.00703,             0.00703
                 122,            0.023059,            0.020697,           0.0038843,             0.96915,             0.96902,             0.98091,             0.74171,            0.015287,            0.015257,           0.0022124,           0.0070053,           0.0070053,           0.0070053
                 123,            0.024226,            0.020523,           0.0050719,             0.97551,             0.97455,              0.9846,             0.74991,            0.015549,            0.014885,           0.0021138,           0.0069805,           0.0069805,           0.0069805
                 124,             0.02083,            0.019768,           0.0052409,              0.9679,             0.97712,             0.98347,             0.74588,            0.014729,            0.015125,           0.0021642,           0.0069558,           0.0069558,           0.0069558
                 125,            0.022037,            0.019896,           0.0043093,             0.96273,             0.97703,             0.98295,             0.75318,             0.01523,            0.014786,           0.0022502,            0.006931,            0.006931,            0.006931
                 126,            0.023041,            0.019843,           0.0050672,             0.96981,             0.97191,             0.98025,              0.7482,            0.015277,            0.014966,           0.0020949,           0.0069063,           0.0069063,           0.0069063
                 127,            0.025332,            0.020755,           0.0030387,             0.97453,             0.98082,             0.98273,             0.74841,            0.015899,            0.014855,           0.0021249,           0.0068815,           0.0068815,           0.0068815
                 128,            0.024517,            0.021012,           0.0053544,             0.96489,             0.97663,             0.98207,             0.74543,             0.01609,            0.014861,           0.0021697,           0.0068568,           0.0068568,           0.0068568
